user,PawnIsolateScore,PawnOverlapScore,PawnProtectScore
107degrees,0.07508999401533493,-0.2051002226384354,1.5341913272608954
190l,0.022104142838988428,-0.083603380353285,1.4774749015122632
1b31-O,0.032759057994154725,-0.22206062758830647,1.4615538907058774
1d51-0,0.07225672449681111,-0.27090280341191436,1.4831995894358427
1e41-0,0.035615306235833824,-0.2854711034712901,1.450584595774445
1g41-0,0.027721240950031825,-0.2634623651422611,1.496907169274087
2305,0.06401820350006852,-0.2810498139420694,1.662534189156326
2400FM,0.12430360337337083,-0.3012181616832779,2.357313229406253
2Tilted,0.051944497096328514,-0.25429361531567546,1.7940319250486563
2good4u734,0.002293858709734474,-0.303581237652166,1.5707951132105271
4empechement,0.07589071137840259,-0.30260975322693523,1.5973700172386414
AFRUZA Khamdamova,0.07490737622623451,-0.2605324601922554,1.2000001122855266
AIROPITO7,0.05260799675399401,-0.21666708550094077,1.7670256103796804
ALEJANDRO NEEDLEMAN,0.10617936104002867,-0.32290996634946756,1.366773063083559
ALEJANDRO WALDO,0.08660794242757355,-0.18046917166467238,1.3561170415013928
ALEXJR20,0.0673505689834094,-0.29326061062345077,1.4742276951528646
ANUSHA NLV,0.02439009118198841,-0.29202340440165925,1.911370718221034
Aadit Bhatia,0.06825970228490287,-0.2476187307558566,1.59267023994605
Aaditya Dhingra,0.057970701231989635,-0.26971649458205427,1.7803935516034748
Aadya Gowda,0.015716857064952388,-0.24057535512004485,0.6727793564178004
Aadya Gupta,0.059041226579214956,-0.22583393581802388,1.5298700500425104
Aakaash Meduri,0.06426134811556741,-0.2692056616936046,1.7274379870991274
Aakanksha Hagawane,0.017416446998842667,-0.23251155802246268,1.5194929892499192
Aakash G,0.09391460084168074,-0.28138470260426074,1.3573780646535614
Aakash Sharadchandra  Dalvi,0.11802468128794001,-0.27825314363468256,1.689492261855219
Aamuktha Guntaka,0.042271942219244026,-0.23078189283112321,2.066192638965152
Aansh Nandan Nerurkar,0.08551512340298387,-0.2520149592307798,1.5367176707779922
Aaradhya Das,0.02297460699989289,-0.3860487267622323,1.632402875252298
Aarav A,0.08055328811315629,-0.30488531482457537,1.6287000115135744
Aarav Dengla,0.11923091039128546,-0.2535106430690858,1.4426940958949939
Aarav Sarbalia,0.07123660895005478,-0.4051539373990666,1.200939456572899
Aarav Sinha,0.07921207367979616,-0.2627043545429388,1.5051775226750108
Aaravamudhan Balaji,0.1110906580734711,-0.2767721725837445,1.9189938794352952
Aarit Kapil,0.12218087513607451,-0.25182931620360643,1.522882188173568
Aaron Alonso Garcia,0.17890548469009632,-0.39999997195508485,1.3320506045235316
Aaron Balleisen,0.09362328204282963,-0.2934779938975489,1.6667243752793157
